,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B
456,276,6.8,507,7.51,0.41,0.5,4.0,0.24,2.67,0.57,6.44,0.18
457,301,7.2,412,7.71,0.64,0.32,4.0,0.29,2.63,0.83,7.76,0.09
458,307,6.6,401,7.53,0.71,0.82,3.0,0.34,2.93,0.67,7.84,0.24
459,326,8.3,285,7.38,0.82,0.88,4.3,0.27,3.63,0.63,8.96,0.18
460,270,6.8,296,7.59,0.33,0.56,5.1,0.26,3.74,0.74,8.73,0.15
461,295,4.8,348,7.77,0.61,0.24,2.5,0.25,2.84,0.12,7.73,0.07
462,333,5.9,391,7.44,0.66,0.26,5.0,0.26,3.51,0.25,7.35,0.15
463,370,5.0,496,7.62,0.41,0.76,6.2,0.34,2.44,0.25,8.36,0.09
464,377,6.8,327,7.51,0.85,0.26,4.0,0.25,3.63,1.08,7.84,0.13
465,264,7.9,391,7.34,0.61,0.24,3.0,0.25,2.44,0.22,7.44,0.21
466,358,7.2,359,7.49,0.67,0.5,2.5,0.26,2.64,0.29,7.55,0.19
467,320,4.6,422,7.38,0.53,0.76,6.0,0.24,2.74,0.18,7.66,0.07
468,333,6.8,327,7.53,0.62,0.38,3.5,0.26,3.44,0.45,7.84,0.12
469,307,7.2,338,7.41,0.42,0.78,11.76,0.47,5.26,0.65,11.53,0.57
470,289,14.5,549,7.18,0.64,0.26,3.1,0.23,2.44,0.42,6.74,0.24
471,282,7.0,401,7.71,0.48,0.18,2.5,0.24,2.48,0.67,7.64,0.1
472,276,9.2,338,7.71,0.48,0.76,3.5,0.24,2.54,0.64,7.77,0.12
473,270,9.0,475,7.65,0.44,0.71,4.8,0.24,3.63,0.74,7.75,0.15
474,295,78.9,454,7.76,0.39,0.41,5.2,0.25,2.74,0.44,8.73,0.21
475,339,7.5,665,7.6,0.55,0.68,4.2,0.28,3.85,0.43,6.73,0.21
476,351,14.9,327,7.4,0.44,0.82,3.8,0.29,2.46,0.63,7.72,0.1
477,358,12.3,612,7.3,0.53,0.5,3.5,0.24,2.58,0.74,8.72,0.12
478,370,11.2,655,7.1,0.67,0.24,4.0,0.23,2.63,0.73,8.43,0.15
479,333,7.0,581,7.8,0.68,0.53,4.1,0.23,3.73,0.75,7.53,0.18
480,282,9.9,391,7.2,0.52,0.15,4.3,0.24,3.77,0.65,7.64,0.1
481,257,7.5,887,7.5,0.29,0.79,4.5,0.26,2.84,0.67,6.76,0.12
482,301,12.9,634,7.6,0.6,0.82,6.0,0.24,2.43,0.78,7.68,0.12
483,333,6.6,729,7.2,0.31,0.38,7.1,0.24,2.94,0.83,7.63,0.15
484,314,11.4,475,7.4,0.31,0.41,4.5,0.26,2.85,0.45,6.58,0.1
485,351,6.8,813,7.5,0.43,0.24,3.5,0.28,2.48,0.12,7.72,0.07
486,339,8.1,549,7.3,0.36,0.26,4.1,0.27,2.58,0.63,7.44,0.09
487,264,14.3,486,7.4,0.65,0.59,5.2,0.27,2.47,0.45,7.54,0.08
488,333,7.9,465,7.5,0.68,0.88,7.84,0.38,2.51,0.86,15.02,0.59
489,370,9.4,729,7.3,0.59,0.1,5.13,0.51,8.05,0.53,11.25,0.29
490,326,6.8,433,7.1,0.57,0.78,6.64,0.24,4.21,1.25,4.51,0.42
491,251,10.7,528,7.4,0.42,0.59,4.22,0.22,9.02,1.03,9.32,0.32
492,301,4.4,507,7.3,0.31,0.29,5.43,0.37,10.52,0.87,10.52,0.67
493,270,10.5,560,7.2,0.3,1.07,6.64,0.48,7.45,1.54,15.33,0.27
494,320,7.5,475,7.1,0.34,0.78,3.62,0.25,6.32,0.96,4.85,0.48
495,282,9.4,570,7.5,0.65,0.39,5.13,0.39,2.05,1.02,12.06,0.34
496,301,9.9,549,7.6,0.33,0.98,7.54,0.45,8.12,0.53,8.54,0.42
497,295,7.0,602,7.2,0.68,0.49,9.65,0.26,6.02,0.55,10.26,0.31
498,339,10.3,729,7.4,0.66,0.1,4.22,0.33,7.45,1.23,13.26,0.61
499,320,7.9,486,7.6,0.59,0.88,6.64,0.27,6.33,0.63,11.02,0.46
500,289,10.7,549,7.3,0.37,0.39,4.83,0.45,5.02,1.84,19.22,0.17
501,276,12.7,612,7.4,0.42,0.59,5.43,0.33,1.54,0.78,7.63,0.5
502,370,11.8,686,7.5,0.61,0.49,7.24,0.26,2.63,0.66,12.05,0.61
503,295,7.2,348,7.8,0.55,0.1,7.54,0.24,6.33,1.02,3.25,0.42
504,351,14.7,380,7.9,0.43,0.78,3.92,0.27,4.02,1.84,9.32,0.29
505,282,5.5,570,7.3,0.48,1.07,6.64,0.49,3.25,0.59,7.15,0.4
506,307,7.0,422,8.0,0.56,0.2,5.13,0.32,8.05,0.74,8.21,0.25
507,364,8.6,718,7.4,0.53,0.68,4.22,0.25,1.96,0.48,14.05,0.42
508,257,13.4,433,7.9,0.51,1.17,9.65,0.29,3.02,1.33,15.02,0.32
509,251,10.5,412,7.3,0.59,0.88,5.43,0.33,4.51,1.42,8.26,0.46
510,326,9.2,560,7.6,0.64,0.98,8.75,0.45,6.33,0.91,6.23,0.29
511,270,6.6,591,7.8,0.3,0.59,3.32,0.28,7.02,0.83,9.24,0.44
512,339,9.6,655,7.3,0.35,0.39,5.13,0.56,3.05,1.02,11.05,0.34
513,351,9.9,570,7.4,0.36,0.68,9.65,0.33,3.79,1.33,13.05,0.31
514,282,8.3,708,7.2,0.68,0.88,5.43,0.26,2.6,0.87,6.33,0.17
515,295,9.9,486,7.4,0.21,0.39,6.64,0.32,3.21,1.25,5.25,0.23
516,264,9.4,876,7.8,0.38,0.29,3.92,0.26,3.51,0.69,11.68,0.46
517,370,9.2,644,7.9,0.61,0.78,5.13,0.33,7.21,1.25,3.47,0.36
518,289,7.5,486,7.8,0.46,1.17,6.64,0.27,3.02,1.85,5.69,0.69
519,320,8.1,507,8.3,0.65,0.1,8.45,0.52,5.66,1.32,14.05,0.4
520,333,7.7,570,7.4,0.37,0.98,4.22,0.26,3.14,1.54,19.25,0.55
521,282,4.8,560,7.8,0.45,0.88,9.95,0.39,6.02,0.86,13.42,0.73
522,276,12.9,517,7.6,0.48,0.59,4.52,0.47,3.39,1.02,14.5,0.27
523,364,8.3,581,7.8,0.43,0.68,9.95,0.25,4.22,1.98,16.23,0.5
524,358,11.2,591,7.9,0.59,1.17,4.22,0.32,2.58,1.25,5.47,0.73
525,351,11.0,539,7.3,0.51,0.88,6.64,0.29,5.33,1.05,8.32,0.34
526,370,7.0,623,7.4,0.65,1.27,5.13,0.33,4.21,1.47,9.24,0.32
527,314,7.2,528,7.9,0.69,0.78,6.33,0.45,2.63,0.96,11.06,0.5
528,295,5.5,412,7.0,0.41,0.49,7.84,0.24,3.55,0.54,13.47,0.53
529,345,6.8,475,7.0,0.67,0.88,5.13,0.5,6.52,0.41,14.15,0.27
530,314,6.8,412,7.19,0.32,1.07,9.95,0.61,7.86,1.03,5.96,0.34
531,301,6.8,644,7.22,0.69,0.78,9.35,0.66,7.05,1.32,13.22,0.38
532,320,7.5,401,7.22,0.4,0.49,4.22,0.27,8.33,0.94,7.54,0.31
533,301,6.8,634,7.29,0.43,0.49,5.13,0.47,7.05,1.33,12.44,0.55
534,326,8.3,475,7.35,0.38,0.59,11.76,0.35,4.55,1.25,13.26,0.32
535,295,7.2,454,7.35,0.34,0.68,4.52,0.38,4.02,1.02,10.25,0.25
536,320,7.5,433,7.46,0.7,1.07,8.14,0.22,9.32,0.78,9.32,0.5
537,295,7.0,433,7.41,0.35,0.49,8.45,0.48,2.05,2.01,6.36,0.61
538,364,8.1,486,7.45,0.49,0.1,9.35,0.35,7.12,0.98,7.54,0.5
539,295,7.2,412,7.61,0.41,1.07,4.22,0.51,3.58,0.63,17.54,0.34
540,276,8.1,581,7.92,0.61,0.39,5.13,0.33,4.56,1.08,11.05,0.31
541,295,7.7,539,8.05,0.6,0.88,5.43,0.28,8.78,0.96,10.63,0.32
542,264,7.9,370,7.81,0.58,0.39,6.64,0.42,6.23,1.32,6.58,0.29
543,320,9.4,454,7.86,0.61,0.1,11.46,0.39,6.14,1.25,4.51,0.42
544,289,11.0,391,7.65,0.72,0.98,10.56,0.33,5.2,0.5,9.3,0.34
545,314,8.3,412,7.23,0.67,0.2,8.14,0.21,4.59,1.63,11.56,0.29
546,345,5.9,549,7.7,0.65,0.68,7.84,0.25,2.15,1.25,9.64,0.36
547,238,10.7,612,7.77,0.6,0.88,3.92,0.47,3.56,1.3,3.74,0.23
548,320,7.7,401,7.7,0.58,0.49,4.22,0.51,4.67,0.86,9.05,0.34
549,307,12.3,412,7.62,0.55,0.68,5.43,0.63,5.47,0.59,12.47,0.69
550,326,11.2,539,7.57,0.61,0.39,7.24,0.29,2.69,0.47,8.63,0.32
551,314,7.5,306,7.64,0.58,0.2,4.83,0.32,4.28,0.9,11.03,0.48
552,245,9.4,359,7.71,0.59,0.88,8.45,0.28,5.31,1.59,7.98,0.34
553,289,6.1,602,7.59,0.64,0.1,6.33,0.51,1.92,1.36,6.48,0.42
554,339,10.7,486,7.58,0.61,0.49,5.13,0.46,2.56,1.87,5.21,0.55
555,333,11.2,412,7.66,0.65,0.68,8.75,0.38,3.68,0.86,4.96,0.67
556,358,9.2,370,7.59,0.69,1.07,5.13,0.3,3.55,2.02,7.51,0.34
557,345,5.5,391,7.68,0.61,0.68,6.33,0.28,6.98,1.45,3.48,0.5
558,333,7.2,612,7.64,0.59,1.17,11.16,0.37,7.15,0.85,9.02,0.61
559,345,6.8,327,7.58,0.58,0.68,8.45,0.32,3.87,1.57,7.02,0.21
560,276,7.0,348,7.58,0.66,0.39,8.45,0.66,9.17,0.54,14.68,0.52
561,264,6.8,412,7.53,0.59,0.1,6.64,0.37,6.54,1.08,9.54,0.67
562,295,6.6,359,7.46,0.7,1.17,5.13,0.25,5.38,1.77,11.06,0.27
563,289,7.5,433,7.48,0.6,0.1,4.52,0.26,3.39,1.09,16.48,0.23
564,276,6.6,380,7.57,0.58,0.88,7.24,0.55,2.53,0.58,7.52,0.5
565,326,6.8,264,7.51,0.72,0.68,5.13,0.37,5.95,1.25,15.6,0.4
566,307,7.0,539,7.45,0.78,0.49,6.64,0.48,4.6,1.87,12.03,0.27
567,358,8.6,517,7.78,0.58,0.2,4.52,0.58,5.68,1.05,11.48,0.48
568,345,5.3,306,7.51,0.38,1.07,5.43,0.24,5.91,0.32,6.23,0.55
569,245,7.5,401,7.61,0.63,0.78,12.07,0.52,5.27,1.96,6.34,0.29
570,320,8.6,591,7.62,0.71,0.1,8.75,0.47,8.26,0.83,12.47,0.53
571,339,7.5,517,7.78,0.73,0.1,6.94,0.33,9.32,1.25,11.42,0.42
572,333,6.8,422,7.72,0.82,0.78,11.46,0.32,7.34,1.26,9.5,0.25
573,264,18.4,517,7.68,0.62,0.78,11.46,0.29,10.25,1.06,17.54,0.34
574,289,19.3,507,7.51,0.71,0.88,6.64,0.37,6.32,0.63,10.25,0.36
575,276,18.2,591,7.48,0.7,0.29,4.52,0.54,7.21,1.25,18.32,0.42
576,295,19.5,539,7.39,0.68,0.68,8.45,0.28,4.02,0.84,4.05,0.29
577,282,9.2,338,7.4,0.51,0.2,8.45,0.59,3.22,1.36,14.02,0.61
578,264,10.7,444,7.8,0.54,0.68,10.86,0.45,8.22,0.91,10.25,0.29
579,320,8.1,422,7.6,0.55,0.29,9.95,0.51,6.03,0.84,8.32,0.8
580,314,12.7,359,7.5,0.49,0.78,5.13,0.33,4.21,0.53,11.36,0.36
581,282,6.8,338,7.8,0.61,0.39,4.52,0.26,7.12,1.22,9.32,0.4
582,245,10.5,327,7.4,0.43,0.49,8.75,0.51,4.02,1.02,17.54,0.42
583,257,8.6,380,7.5,0.52,0.78,3.62,0.23,6.32,1.36,12.03,0.25
584,264,7.7,465,7.6,0.64,0.29,10.86,0.28,8.22,0.84,10.55,0.32
585,333,9.2,380,7.4,0.61,0.59,4.52,0.51,4.49,0.49,16.03,0.32
586,320,12.7,348,7.3,0.44,0.29,7.84,0.36,5.32,1.05,7.05,0.48
587,307,9.0,370,7.2,0.65,0.68,9.95,0.25,9.26,0.78,6.32,0.36
588,276,8.6,338,7.1,0.58,1.17,8.45,0.31,7.42,0.64,12.47,0.21
589,270,14.7,465,7.4,0.49,0.1,11.16,0.51,3.64,0.59,9.8,0.32
590,282,9.9,422,7.8,0.43,0.78,4.52,0.27,5.19,1.09,3.59,0.53
591,301,7.2,370,7.9,0.47,1.07,7.84,0.38,6.38,0.47,7.51,0.67
592,295,8.1,401,7.3,0.44,0.59,8.45,0.54,4.62,1.58,6.3,0.27
593,307,10.1,391,7.2,0.53,0.2,6.33,0.27,2.88,0.63,12.05,0.36
594,264,10.5,444,7.87,0.66,0.39,10.56,0.37,4.1,0.74,14.58,0.4
595,301,9.9,359,0.9,0.52,0.88,8.14,0.43,6.33,1.25,8.96,0.32
596,270,9.0,412,7.57,0.32,0.68,7.84,0.52,4.58,1.03,11.36,0.25
597,314,8.6,391,0.9,0.56,0.98,3.92,0.51,1.78,0.6,7.58,0.21
598,345,8.8,444,7.8,0.31,0.78,4.22,0.57,2.91,1.42,19.02,0.55
599,307,8.3,359,7.6,0.68,1.07,5.43,0.36,7.82,0.87,13.26,0.67
600,333,8.6,359,8.0,0.35,0.68,7.24,0.58,2.55,0.43,12.56,0.42
601,358,6.8,486,8.3,0.33,0.59,4.83,0.34,9.17,1.05,8.05,0.31
602,257,7.5,507,7.3,0.37,0.88,8.45,0.29,4.42,1.25,13.06,0.31
603,295,2.9,612,7.85,0.83,0.2,6.33,0.33,8.61,1.88,4.25,0.21
604,276,10.7,655,8.4,0.45,1.07,5.13,0.58,3.32,2.01,9.6,0.32
605,301,12.7,422,8.95,0.39,0.49,8.75,0.67,5.91,0.89,13.52,0.44
606,282,15.6,602,9.5,0.42,0.2,5.13,0.6,5.7,1.07,7.54,0.34
607,295,13.4,412,10.05,0.73,0.68,6.33,0.52,3.31,1.89,3.25,0.48
608,326,11.8,444,10.6,0.88,0.88,8.75,0.43,6.52,0.85,8.05,0.27
609,264,10.3,475,7.49,0.74,0.78,4.22,0.66,9.31,0.78,6.05,0.44
610,282,5.5,665,7.8,0.44,0.1,8.45,0.45,5.51,0.93,12.36,0.31
611,326,10.7,612,7.9,0.4,0.49,6.64,0.36,6.4,0.84,6.35,0.48
612,295,11.8,697,7.6,0.56,0.68,5.13,0.85,5.72,1.23,11.06,0.27
613,276,6.1,655,7.4,0.33,0.2,3.92,0.52,6.67,1.58,7.35,0.34
614,289,9.4,634,7.1,0.51,0.29,7.24,0.4,9.67,0.68,6.03,0.21
615,257,76.8,813,7.9,0.45,1.07,5.73,0.48,6.51,0.79,4.52,0.31
616,364,7.2,644,7.5,0.42,0.88,10.56,0.63,4.42,0.32,12.32,0.32
617,333,7.0,676,7.3,0.69,1.17,4.83,0.52,3.39,1.45,9.65,0.5
618,320,12.3,676,7.9,0.5,0.59,9.95,0.38,8.24,0.96,11.05,0.27
619,339,5.7,697,8.0,0.65,0.68,8.75,0.32,6.25,1.85,15.47,0.42
620,326,11.2,539,7.3,0.21,0.1,6.33,0.52,4.12,1.49,3.05,0.29
621,289,7.5,708,8.1,0.37,0.59,4.22,0.38,6.58,1.3,12.06,0.46
622,314,9.2,370,7.4,0.69,0.39,5.43,0.24,2.51,0.52,11.48,0.32
623,345,8.3,560,7.8,0.51,0.2,6.94,0.39,7.5,1.23,14.21,0.44
624,270,6.6,338,7.1,0.42,1.07,4.52,0.5,3.02,0.87,9.33,0.36
625,364,12.9,401,8.4,0.54,0.2,9.35,0.45,1.02,1.05,12.03,0.59
626,314,8.1,570,8.1,0.78,0.68,5.13,0.22,2.25,1.56,15.26,0.27
627,358,7.2,327,8.2,0.5,0.29,7.24,0.37,3.15,0.86,6.32,0.21
628,276,5.5,348,7.3,0.62,0.2,3.92,0.28,5.32,0.74,2.78,0.4
629,326,11.2,708,7.4,0.55,0.59,5.43,0.32,6.03,0.86,13.26,0.31
630,282,5.3,834,7.5,0.58,0.39,9.35,0.28,2.15,1.32,7.05,0.53
631,270,6.1,697,7.0,0.4,0.68,6.64,0.51,2.14,0.96,9.21,0.52
632,295,4.4,634,7.9,0.53,1.17,5.13,0.46,3.21,1.25,14.05,0.48
633,289,5.7,612,7.5,0.67,0.59,11.76,0.39,5.21,1.3,2.68,0.44
634,314,11.8,359,7.6,0.52,1.27,6.33,0.52,2.15,0.86,3.59,0.27
635,301,6.4,327,8.1,0.67,0.39,9.05,0.32,3.32,0.9,14.59,0.5
636,351,12.3,475,7.4,0.45,0.88,8.45,0.47,1.58,1.59,2.15,0.46
637,276,7.2,348,7.5,0.69,0.2,10.26,0.56,2.69,1.36,9.32,0.29
638,358,11.4,401,7.8,0.54,0.49,8.45,0.31,3.57,0.86,7.36,0.21
639,270,7.7,771,7.1,0.2,0.78,8.75,0.35,7.32,2.02,19.03,0.44
640,301,8.1,729,7.6,0.36,0.88,7.84,0.54,5.32,0.85,8.12,0.34
641,270,11.8,781,7.4,0.46,1.17,9.95,0.33,6.02,1.09,13.25,0.32
642,264,7.9,380,7.2,0.33,0.88,11.16,0.49,3.51,0.96,10.85,0.21
643,276,11.2,475,7.5,0.35,0.39,4.52,0.52,6.32,0.54,8.62,0.34
644,270,8.6,454,7.52,0.41,0.68,7.84,0.66,4.21,1.08,11.47,0.44
645,276,8.6,486,7.52,0.52,0.68,4.83,0.38,4.15,1.02,9.02,0.27
646,270,8.3,465,7.29,0.63,0.1,8.45,0.45,7.62,1.63,11.52,0.42
647,307,103.1,232,7.25,0.82,0.49,5.13,0.27,6.25,1.02,10.25,0.21
648,320,63.6,306,7.61,0.42,1.07,10.86,0.28,8.35,0.78,7.54,0.53
649,314,61.4,359,7.35,0.42,0.88,5.13,0.56,3.14,1.02,14.02,0.59
650,270,70.2,750,7.77,0.34,0.39,6.33,0.35,6.52,1.86,18.52,0.27
651,276,68.0,296,7.65,0.53,0.68,8.75,0.29,4.12,1.32,11.25,0.4
652,270,65.8,306,8.02,0.64,0.2,11.16,0.36,8.06,0.93,9.62,0.53
653,276,81.1,380,7.71,0.71,0.78,3.92,0.35,2.21,1.54,4.51,0.5
654,270,68.0,317,7.51,0.53,1.07,8.45,0.28,1.59,0.84,6.32,0.25
655,301,63.6,327,7.7,0.53,0.88,4.22,0.57,6.32,1.25,14.25,0.32
656,270,70.2,401,7.51,0.7,1.17,6.64,0.49,4.02,0.36,7.54,0.36
657,276,61.4,422,7.44,0.54,0.88,4.83,0.26,1.87,0.87,11.25,0.21
658,207,74.6,686,7.41,0.57,1.07,4.22,0.51,4.2,1.25,9.25,0.46
659,207,78.9,718,7.29,0.52,0.2,5.43,0.37,6.02,0.85,18.22,0.46
660,213,98.7,359,7.34,0.82,0.88,3.92,0.51,3.21,1.03,3.28,0.63
661,201,74.6,454,7.33,0.56,0.39,7.84,0.28,6.54,1.87,9.63,0.29
662,282,72.4,549,7.62,0.63,0.1,3.32,0.37,6.32,1.63,7.54,0.46
663,207,76.8,560,7.42,0.42,0.78,7.54,0.48,4.15,1.02,13.25,0.29
664,276,12.9,401,7.91,0.52,0.2,7.54,0.26,2.15,0.84,6.33,0.71
665,282,13.2,433,7.02,0.81,0.1,4.22,0.37,6.32,0.93,14.25,0.29
666,264,12.1,560,7.44,0.53,1.07,10.86,0.48,1.25,1.02,10.25,0.42
667,276,9.4,486,7.04,0.74,0.24,23.9,0.16,0.76,0.36,4.65,0.53
668,207,9.4,813,7.01,0.38,0.46,9.9,0.39,0.39,0.52,5.37,0.64
669,270,11.4,655,7.05,0.62,0.51,7.1,0.44,1.11,0.23,1.88,1.17
670,295,10.7,644,7.08,0.73,0.57,6.7,0.44,0.42,0.51,6.33,0.85
671,289,10.7,475,7.35,0.63,0.24,3.7,0.4,0.31,0.38,6.11,0.31
672,345,9.6,422,7.37,0.49,0.38,7.1,0.37,1.71,0.27,6.23,0.77
673,314,8.3,486,7.41,0.42,0.57,5.9,0.35,1.02,0.41,9.86,0.71
674,351,7.2,581,7.8,0.56,0.54,8.4,0.42,1.12,0.33,1.11,1.13
675,264,9.9,454,7.4,0.33,0.73,5.1,0.42,0.81,0.23,4.0,1.44
676,364,7.0,391,7.9,0.57,0.51,6.7,0.34,0.53,0.31,1.72,1.22
677,377,8.1,549,7.5,0.62,0.32,12.7,0.28,0.96,0.26,3.31,0.43
678,282,5.3,697,7.6,0.58,0.46,6.4,0.3,0.34,0.22,1.88,0.07
679,276,8.6,570,7.5,0.36,0.59,3.4,0.42,0.79,0.2,3.16,1.36
680,320,3.9,507,7.4,0.34,0.51,4.7,42.0,44.0,0.42,1.22,1.17
681,276,7.9,433,7.9,0.61,0.41,5.9,0.4,0.41,0.22,1.21,1.12
682,345,4.4,686,8.0,0.56,0.35,7.7,0.4,0.22,0.24,2.71,1.12
683,333,7.2,560,7.6,0.51,0.59,5.9,0.4,0.81,0.24,1.13,1.42
684,364,6.8,444,7.5,0.55,24.0,8.2,38.0,34.0,0.21,4.14,1.21
685,326,10.1,803,7.4,0.53,0.57,6.0,0.37,0.98,0.37,1.43,1.29
686,351,8.1,570,7.3,0.3,0.51,4.7,0.34,0.3,0.41,4.23,2.11
687,377,5.3,623,7.2,0.58,0.32,9.9,0.09,0.9,0.21,0.11,0.43
688,307,8.6,750,7.4,0.63,0.73,4.4,0.38,0.58,0.32,3.31,0.86
689,295,12.5,560,7.9,0.51,0.51,21.4,0.13,1.06,0.22,1.42,0.15
690,295,7.9,623,7.3,0.54,0.19,17.0,0.13,4.82,0.17,10.6,0.25
691,245,7.5,570,7.0,0.69,0.51,8.8,0.19,1.47,0.24,12.59,0.36
692,282,12.9,612,7.9,0.51,0.41,6.6,0.41,1.29,0.33,6.21,0.61
693,264,7.7,380,7.2,0.36,0.32,6.8,0.19,1.02,0.19,18.82,0.46
694,339,8.1,560,7.5,0.73,0.54,2.4,0.43,0.6,0.19,2.69,1.3
695,289,7.0,444,7.6,0.58,0.46,4.7,0.46,1.09,0.27,6.31,0.35
696,333,7.2,549,7.4,0.66,0.46,7.2,0.28,1.87,0.27,13.38,0.47
697,301,111.8,486,7.5,0.54,0.43,6.5,0.25,1.57,0.23,18.71,0.35
698,314,7.9,581,7.9,0.58,0.49,4.8,0.4,0.68,0.21,8.91,1.24
699,326,7.5,612,8.2,0.5,0.57,1.6,0.22,2.18,0.14,18.06,0.5
700,358,8.3,517,8.1,0.45,0.46,7.1,0.22,1.61,0.3,13.14,0.41
701,320,6.6,602,8.0,0.52,0.35,7.2,0.34,0.49,0.31,1.27,0.47
702,339,6.8,560,8.0,0.61,0.62,8.9,0.07,1.5,0.19,30.48,0.35
703,226,15.1,549,7.2,0.59,0.46,5.1,0.36,1.7,0.29,6.59,1.69
704,326,7.5,433,8.1,0.76,0.41,27.3,0.23,1.22,0.38,1.38,0.49
705,232,11.4,570,8.1,0.54,0.41,7.1,0.31,0.63,0.42,4.32,1.13
706,301,7.2,591,8.0,0.75,0.32,31.0,0.19,1.24,0.34,14.31,0.43
707,351,5.7,581,7.4,0.61,0.78,5.8,0.44,1.13,0.22,21.32,1.49
708,282,12.7,465,7.5,0.63,0.3,24.4,0.09,1.03,0.25,9.35,0.39
709,364,7.7,602,7.9,0.53,0.32,10.78,0.7,1.21,0.22,7.45,0.34
710,370,7.0,528,7.5,0.56,0.73,7.1,0.37,0.74,0.38,1.14,1.35
711,295,8.1,803,8.0,0.32,0.78,6.7,0.34,0.77,0.18,7.81,1.24
712,270,9.4,539,8.3,0.69,0.76,5.9,0.31,0.81,0.23,1.29,0.79
713,377,8.6,549,8.1,0.55,0.57,3.8,0.37,1.11,0.21,1.12,1.17
714,264,7.7,539,7.9,0.49,0.65,4.4,0.36,0.83,0.28,1.01,0.57
715,213,12.5,549,7.8,0.1,0.51,4.7,0.34,1.22,0.21,1.82,0.84
716,370,6.6,591,7.3,0.38,0.65,0.64,0.36,0.77,0.18,2.11,1.18
717,351,8.6,771,7.9,0.45,0.59,4.9,0.38,0.74,0.22,3.13,0.65
718,333,12.3,686,7.4,0.57,0.41,6.4,0.34,1.29,0.27,0.84,1.27
719,301,6.8,539,7.5,0.3,0.57,4.7,0.4,1.13,0.3,8.14,0.8
720,345,8.1,634,7.1,0.56,0.59,7.2,0.33,0.47,0.41,2.29,0.65
721,370,7.2,581,7.3,0.34,0.49,5.5,0.36,1.33,0.31,8.23,0.71
722,339,8.3,549,7.5,0.31,0.65,8.4,0.44,0.44,0.31,3.17,1.27
723,377,7.9,602,7.8,0.55,0.86,6.3,0.42,0.69,0.83,7.6,1.84
724,351,9.6,623,7.9,0.43,0.57,5.9,0.37,1.28,0.41,9.53,1.17
725,339,6.8,570,7.5,0.79,0.59,1.7,0.13,1.45,0.33,2.72,0.36
726,201,12.9,433,7.8,0.46,0.65,2.5,0.09,1.44,0.2,19.69,0.22
727,345,7.5,528,7.9,0.82,0.65,2.5,0.09,1.44,0.2,19.69,0.22
728,333,8.3,665,7.3,0.3,0.46,7.2,0.27,1.87,0.47,13.38,0.28
729,351,7.0,549,7.5,0.37,0.3,6.3,0.21,0.71,0.5,3.11,0.09
730,295,14.5,612,8.2,0.38,0.49,7.54,0.36,2.25,0.69,12.36,0.48
731,282,9.2,676,8.0,0.62,0.78,11.46,0.47,7.15,1.02,4.51,0.25
732,257,11.6,433,7.4,0.73,0.1,4.22,0.25,3.26,1.24,9.62,0.42
733,270,12.1,401,7.9,0.36,0.78,8.45,0.21,9.05,0.77,14.55,0.17
734,289,14.5,549,7.3,0.64,1.07,11.16,0.34,4.55,0.53,6.32,0.29
735,301,13.6,496,7.8,0.6,0.88,8.45,0.51,6.28,1.25,17.54,0.46
736,295,12.5,412,7.2,0.37,0.39,6.64,0.27,1.05,1.39,11.58,0.25
737,276,15.4,433,7.3,0.63,0.88,5.43,0.33,6.25,0.54,7.54,0.31
738,326,13.4,454,7.9,0.51,0.49,7.84,0.28,8.25,0.33,13.02,0.32
739,270,13.8,845,7.5,0.82,0.1,3.32,0.45,1.32,0.78,8.54,0.42
740,289,14.7,750,8.1,0.58,0.68,5.13,0.37,4.51,0.59,11.63,0.31
741,314,8.3,591,8.0,0.47,1.07,11.76,0.25,3.25,0.62,19.52,0.61
742,345,9.9,507,7.9,0.49,0.78,8.45,0.59,7.54,0.37,14.33,0.34
743,307,6.8,370,7.3,0.66,0.2,7.24,0.51,6.05,1.36,10.56,0.42
744,339,7.5,475,7.2,0.88,0.78,4.83,0.34,8.21,1.07,7.54,0.55
745,314,10.3,676,7.9,0.39,0.1,3.32,0.28,3.25,1.94,9.36,0.67
746,333,12.7,887,7.4,0.42,0.68,5.43,0.34,1.96,2.01,14.52,0.34
747,351,14.3,560,7.6,0.37,1.07,8.14,0.28,1.05,0.87,13.26,0.48
748,358,10.1,602,7.8,0.32,0.29,9.95,0.33,2.51,0.51,10.85,0.42
749,301,10.3,412,7.3,0.77,0.78,4.22,0.52,7.15,0.39,7.54,0.74
750,326,11.8,444,7.4,0.4,0.1,8.45,0.48,3.25,0.46,9.55,0.88
751,314,8.1,644,7.8,0.61,0.88,3.92,0.29,9.02,1.12,8.52,0.29
752,320,8.6,380,7.94,0.69,0.29,8.45,0.41,4.15,0.77,4.15,0.5
753,358,12.9,422,7.02,0.48,0.68,9.95,0.39,3.22,0.91,6.32,0.65
754,345,13.6,444,7.85,0.38,0.1,5.13,0.35,6.21,0.63,12.05,0.34
755,314,14.9,359,7.04,0.43,0.78,6.33,0.42,4.15,0.54,10.52,0.42
756,333,13.8,401,7.62,0.51,0.59,10.56,0.51,2.11,0.71,8.54,0.31
757,339,8.3,380,7.67,0.32,0.39,10.26,0.33,8.02,1.25,3.25,0.52
758,326,10.3,507,7.88,0.71,0.1,4.52,0.28,3.02,1.09,7.15,0.67
